Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus bahianus,Ocean Surgeonfish,https://skfb.ly/oAspu ,,,12,12,1
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chirurgus,Black Doctorfish,https://skfb.ly/oAspu ,,,17.98323597,11,2
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,Blue Barber,https://skfb.ly/oAspu ,,,21.3,12,4
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora cervicornis,Fused Staghorn Coral,https://skfb.ly/oSITy ,,,17.98323597,17.98323597,1
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora palmata,Elkhorn Coral,https://skfb.ly/oSITy ,,,25.90805182,7.010414021,8
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora striata,Staghorn Coral,https://skfb.ly/oSITy ,,,16.15443231,12.19202438,2
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,Condylactis gigantea,Giant Caribbean Sea Anemone,https://skfb.ly/VTGp ,,,30.48006096,11,7
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina aerophoba,Golden Sponge,https://skfb.ly/6wRRT ,,,12.49682499,3.048006096,3
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina fistularis,Dead Man's Fingers,https://skfb.ly/6wRRT ,,,24.38404877,11,4
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus chinensis,Chinese Trumpetfish,https://skfb.ly/6vHtx ,,,15,15,1
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus,Atlantic Trumpetfish,https://skfb.ly/6vHtx ,,,45,1.79,40
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis maculata,Rough Triggerfish,https://skfb.ly/o8OCq ,,,27.1,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis sufflamen,Ocean Triggerfish,https://skfb.ly/o8OCq ,,,22.86004572,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Melichthys,Melichthys niger,Black Triggerfish,https://skfb.ly/o8OCq ,,,36.57607315,10,20
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus lunatus,Peacock Flounder,https://skfb.ly/o8uyp ,,,24.69000762,3.048006096,8
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus ocellatus,Eyed Flounder,https://skfb.ly/o8uyp ,,,21.03,7,2
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus podas,Wide-eyed Flounder,https://skfb.ly/o8uyp ,,,30.48006096,30,3
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,Atlantic Rock Crab,https://skfb.ly/oKnV8 ,,,30.48006096,15.24003048,7
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides,Unspecified,https://skfb.ly/o8nwX ,,,8.5,8.5,1
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides bartholomaei,Yellow Jack,https://skfb.ly/o8nwX ,,,18.8976378,7.010414021,6
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides,Carangoides ruber,Bar Jack,https://skfb.ly/o8nwX ,,,38.2,11.5,5
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,Gray Reef Shark,https://skfb.ly/6YuzG ,,,25.14605029,25.14605029,1
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,Blackspot  Shark,https://skfb.ly/6YuzG ,,,26.82245364,26.82245364,1
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas,Bull Shark,https://skfb.ly/6YuzG ,,,25,12,4
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus limbatus,Blacktip Shark,https://skfb.ly/6YuzG ,,,26.4,22,2
