Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus bahianus,Ocean Surgeonfish,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,12,12,1
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chirurgus,Black Doctorfish,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,17.98323597,11,2
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,Blue Barber,Assets/SpecimenPrefabs/Acanthuridae.prefab,Family,FALSE,21.3,12,4
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora cervicornis,Fused Staghorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,17.98323597,17.98323597,1
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora palmata,Elkhorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,25.90805182,7.010414021,8
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora striata,Staghorn Coral,Assets/SpecimenPrefabs/Acroporidae.prefab,Family,TRUE,16.15443231,12.19202438,2
Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,Condylactis gigantea,Giant Caribbean Sea Anemone,Assets/SpecimenPrefabs/Actiniidae.prefab,Family,TRUE,30.48006096,11,7
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina aerophoba,Golden Sponge,Assets/SpecimenPrefabs/Aplysinidae.prefab,Family,TRUE,12.49682499,3.048006096,3
Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,Aplysina fistularis,Dead Man's Fingers,Assets/SpecimenPrefabs/Aplysinidae.prefab,Family,TRUE,24.38404877,11,4
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus chinensis,Chinese Trumpetfish,Assets/SpecimenPrefabs/Aulostomidae.prefab,Family,FALSE,15,15,1
Animalia,Chordata,Actinopterygii,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus,Atlantic Trumpetfish,Assets/SpecimenPrefabs/Aulostomidae.prefab,Family,FALSE,45,1.79,40
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis maculata,Rough Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,27.1,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis,Canthidermis sufflamen,Ocean Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,22.86004572,10,5
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Melichthys,Melichthys niger,Black Triggerfish,Assets/SpecimenPrefabs/Balistidae.prefab,Family,FALSE,36.57607315,10,20
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus lunatus,Peacock Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,24.69000762,3.048006096,8
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus ocellatus,Eyed Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,21.03,7,2
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,Bothus podas,Wide-eyed Flounder,Assets/SpecimenPrefabs/Bothidae.prefab,Family,FALSE,30.48006096,30,3
